<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.09.05	10:00:00	3935.9	3942.6	3921.7	3925.9	1773	0	6
2022.09.05	11:00:00	3925.9	3932.7	3921.7	3931.2	1292	0	6
2022.09.05	12:00:00	3931.2	3935.7	3923.7	3933.7	1388	0	6
2022.09.05	13:00:00	3933.7	3936.9	3926.9	3928.4	1313	0	6
2022.09.05	14:00:00	3928.4	3931.9	3921.2	3923.4	1066	0	6
2022.09.05	15:00:00	3923.4	3929.4	3918.9	3927.2	1052	0	6
2022.09.05	16:00:00	3927.2	3935.4	3927.2	3931.4	1280	0	6
2022.09.05	17:00:00	3931.4	3938.2	3930.7	3937.4	1258	0	6
2022.09.05	18:00:00	3937.4	3938.9	3933.2	3934.7	1216	0	6
2022.09.05	19:00:00	3934.7	3940.7	3934.4	3936.7	1930	0	6
2022.09.05	20:00:00	3936.4	3937.2	3935.0	3935.0	39	0	6
2022.09.06	01:00:00	3940.7	3946.5	3939.5	3943.3	462	0	6
2022.09.06	02:00:00	3943.3	3944.0	3937.8	3939.3	797	0	6
2022.09.06	03:00:00	3939.5	3957.5	3934.5	3954.5	1832	0	6
2022.09.06	04:00:00	3954.5	3957.5	3944.8	3944.8	1534	0	6
2022.09.06	05:00:00	3944.8	3948.0	3941.0	3947.0	1368	0	6
2022.09.06	06:00:00	3947.0	3947.5	3938.3	3940.3	1111	0	6
2022.09.06	07:00:00	3940.3	3943.3	3937.5	3938.3	867	0	6
2022.09.06	08:00:00	3938.3	3941.8	3935.8	3938.7	1392	0	6
2022.09.06	09:00:00	3938.8	3947.0	3935.5	3944.8	1332	0	6
2022.09.06	10:00:00	3944.8	3960.8	3943.3	3952.0	629	0	6
2022.09.06	11:00:00	3952.0	3952.8	3942.0	3950.8	420	0	6
2022.09.06	12:00:00	3950.8	3951.3	3940.0	3949.8	1131	0	6
2022.09.06	13:00:00	3949.8	3962.8	3948.0	3952.3	1497	0	6
2022.09.06	14:00:00	3952.3	3954.0	3941.8	3949.5	1194	0	6
2022.09.06	15:00:00	3949.5	3956.0	3946.0	3948.8	1363	0	6
2022.09.06	16:00:00	3949.0	3951.8	3908.5	3916.0	2597	0	6
2022.09.06	17:00:00	3916.0	3939.8	3887.0	3936.0	3442	0	6
2022.09.06	18:00:00	3935.8	3943.3	3922.3	3938.8	3665	0	6
2022.09.06	19:00:00	3938.5	3940.3	3907.5	3918.3	3567	0	6
2022.09.06	20:00:00	3918.3	3919.8	3894.3	3906.8	3670	0	6
2022.09.06	21:00:00	3906.8	3920.3	3902.3	3906.5	3981	0	6
2022.09.06	22:00:00	3906.3	3920.5	3899.8	3910.3	4614	0	6
2022.09.07	01:00:00	3911.2	3912.0	3909.0	3910.2	335	0	6
2022.09.07	02:00:00	3910.2	3911.0	3905.0	3906.7	858	0	6
2022.09.07	03:00:00	3906.7	3908.5	3884.2	3890.7	1877	0	6
2022.09.07	04:00:00	3890.7	3895.2	3885.2	3893.7	1800	0	6
2022.09.07	05:00:00	3893.7	3898.0	3890.5	3891.5	1085	0	6
2022.09.07	06:00:00	3891.5	3893.2	3886.7	3893.0	998	0	6
2022.09.07	07:00:00	3893.0	3898.7	3889.2	3896.7	887	0	6
2022.09.07	08:00:00	3896.7	3903.2	3895.5	3898.7	1319	0	3
2022.09.07	09:00:00	3898.7	3908.2	3893.7	3904.0	1634	0	6
2022.09.07	10:00:00	3904.0	3914.5	3894.7	3913.2	2234	0	6
2022.09.07	11:00:00	3913.2	3922.5	3911.5	3919.0	1880	0	6
2022.09.07	12:00:00	3919.1	3920.0	3912.2	3918.5	1752	0	6
2022.09.07	13:00:00	3918.6	3919.7	3912.7	3914.7	1458	0	6
2022.09.07	14:00:00	3914.7	3918.2	3902.2	3907.0	1541	0	6
2022.09.07	15:00:00	3907.0	3910.5	3896.9	3904.0	1734	0	6
2022.09.07	16:00:00	3904.0	3930.7	3901.5	3921.2	2896	0	6
2022.09.07	17:00:00	3921.5	3937.2	3911.5	3932.0	3288	0	6
2022.09.07	18:00:00	3932.0	3947.7	3927.2	3943.0	2690	0	6
2022.09.07	19:00:00	3943.0	3954.5	3931.7	3950.0	2704	0	6
2022.09.07	20:00:00	3950.0	3969.2	3949.0	3967.0	2571	0	6
2022.09.07	21:00:00	3967.0	3982.5	3965.2	3981.7	2908	0	6
2022.09.07	22:00:00	3981.5	3989.0	3977.5	3980.7	3246	0	6
2022.09.08	01:00:00	3983.0	3983.3	3979.3	3981.5	247	0	6
2022.09.08	02:00:00	3981.5	3983.3	3977.0	3977.5	764	0	6
2022.09.08	03:00:00	3977.5	3985.5	3976.3	3982.5	1309	0	6
2022.09.08	04:00:00	3982.5	3987.0	3982.0	3982.8	1182	0	6
2022.09.08	05:00:00	3982.8	3984.0	3978.5	3979.0	942	0	6
2022.09.08	06:00:00	3979.0	3983.5	3978.0	3981.0	693	0	6
2022.09.08	07:00:00	3981.0	3985.5	3980.8	3985.0	639	0	6
2022.09.08	08:00:00	3985.3	3987.5	3983.5	3986.4	935	0	6
2022.09.08	09:00:00	3986.3	3996.0	3984.0	3986.8	1090	0	6
2022.09.08	10:00:00	3987.0	3989.8	3971.3	3975.5	1806	0	6
2022.09.08	11:00:00	3975.5	3980.8	3970.5	3980.5	1564	0	6
