<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.10.31	01:00:00	3899.6	3903.1	3897.8	3898.3	726	0	6
2022.10.31	02:00:00	3898.3	3901.3	3889.1	3892.1	2076	0	6
2022.10.31	03:00:00	3892.1	3898.6	3888.3	3896.8	2803	0	6
2022.10.31	04:00:00	3896.8	3899.6	3893.5	3896.8	1622	0	6
2022.10.31	05:00:00	3896.8	3902.6	3894.8	3900.3	1338	0	4
2022.10.31	06:00:00	3900.3	3901.7	3896.3	3897.3	926	0	6
2022.10.31	07:00:00	3897.3	3902.1	3895.1	3897.6	1910	0	6
2022.10.31	08:00:00	3897.7	3899.1	3892.3	3894.8	1799	0	6
2022.10.31	09:00:00	3894.8	3898.8	3889.5	3898.6	1818	0	6
2022.10.31	10:00:00	3898.7	3898.8	3876.6	3881.1	3071	0	6
2022.10.31	11:00:00	3881.1	3888.0	3877.8	3883.8	1709	0	6
2022.10.31	12:00:00	3883.8	3886.6	3880.3	3885.8	1990	0	6
2022.10.31	13:00:00	3885.7	3895.1	3885.7	3887.7	2405	0	6
2022.10.31	14:00:00	3888.1	3888.1	3878.1	3882.1	2351	0	6
2022.10.31	15:00:00	3882.1	3887.3	3867.3	3867.3	6510	0	6
2022.10.31	16:00:00	3867.3	3881.3	3865.6	3873.8	6091	0	6
2022.10.31	17:00:00	3873.8	3896.8	3873.1	3883.6	4987	0	6
2022.10.31	18:00:00	3883.6	3892.6	3870.3	3875.1	5433	0	6
2022.10.31	19:00:00	3875.1	3888.8	3870.6	3883.3	3700	0	6
2022.10.31	20:00:00	3883.6	3890.1	3878.3	3881.6	4012	0	6
2022.10.31	21:00:00	3881.6	3888.1	3868.1	3875.7	4905	0	6
2022.10.31	22:00:00	3876.3	3879.6	3872.6	3875.5	1280	0	6
2022.11.01	01:00:00	3883.1	3884.4	3881.4	3881.4	376	0	6
2022.11.01	02:00:00	3881.4	3886.4	3880.1	3883.4	1502	0	1
2022.11.01	03:00:00	3883.4	3888.9	3882.6	3888.4	2031	0	6
2022.11.01	04:00:00	3888.4	3892.8	3887.6	3892.4	1331	0	6
2022.11.01	05:00:00	3892.4	3893.4	3887.4	3890.6	1383	0	6
2022.11.01	06:00:00	3890.6	3891.4	3887.1	3889.4	709	0	6
2022.11.01	07:00:00	3889.4	3899.9	3889.1	3896.4	1560	0	6
2022.11.01	08:00:00	3896.4	3901.9	3896.4	3901.1	1669	0	6
2022.11.01	09:00:00	3901.4	3904.6	3891.4	3898.1	3077	0	6
2022.11.01	10:00:00	3898.1	3911.4	3897.6	3905.5	3586	0	6
2022.11.01	11:00:00	3905.5	3909.6	3900.4	3909.1	2645	0	6
2022.11.01	12:00:00	3908.9	3915.1	3905.9	3912.1	2368	0	6
2022.11.01	13:00:00	3912.4	3915.1	3907.9	3913.6	1950	0	6
2022.11.01	14:00:00	3913.4	3920.6	3913.4	3917.4	1926	0	6
2022.11.01	15:00:00	3917.4	3918.4	3890.6	3893.8	5742	0	6
2022.11.01	16:00:00	3893.8	3896.0	3848.6	3852.6	10494	0	6
2022.11.01	17:00:00	3852.9	3861.1	3845.9	3858.4	6976	0	6
2022.11.01	18:00:00	3858.4	3873.3	3852.6	3860.4	6350	0	6
2022.11.01	19:00:00	3860.4	3867.4	3855.6	3863.9	3834	0	6
2022.11.01	20:00:00	3863.9	3868.4	3855.6	3866.6	3318	0	6
2022.11.01	21:00:00	3866.6	3871.1	3857.6	3858.6	4045	0	6
2022.11.01	22:00:00	3858.1	3861.9	3849.0	3854.8	1750	0	6
2022.11.02	01:00:00	3861.7	3862.4	3856.9	3858.7	439	0	6
2022.11.02	02:00:00	3858.7	3867.2	3854.9	3865.9	2024	0	1
2022.11.02	03:00:00	3865.9	3870.7	3863.9	3868.4	1771	0	6
2022.11.02	04:00:00	3868.4	3870.9	3864.7	3869.4	1273	0	6
2022.11.02	05:00:00	3869.7	3872.2	3866.2	3868.4	1397	0	6
2022.11.02	06:00:00	3868.4	3870.4	3864.9	3869.7	921	0	6
2022.11.02	07:00:00	3869.7	3872.3	3868.2	3870.4	1633	0	6
2022.11.02	08:00:00	3870.7	3870.7	3863.2	3865.4	1039	0	6
2022.11.02	09:00:00	3865.4	3866.9	3859.9	3863.2	1638	0	6
2022.11.02	10:00:00	3863.2	3874.7	3862.4	3870.2	3537	0	6
2022.11.02	11:00:00	3870.2	3872.4	3859.2	3863.2	2279	0	6
2022.11.02	12:00:00	3862.9	3863.8	3854.3	3858.4	1855	0	6
2022.11.02	13:00:00	3858.4	3864.4	3855.7	3863.7	1742	0	6
2022.11.02	14:00:00	3863.9	3865.2	3847.9	3854.9	3941	0	6
2022.11.02	15:00:00	3854.7	3856.7	3836.7	3837.2	5362	0	6
2022.11.02	16:00:00	3837.1	3843.9	3833.7	3839.7	4534	0	6
