<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.03	01:00:00	4786.4	4786.9	4783.7	4786.2	423	0	7
2022.01.03	02:00:00	4786.2	4795.2	4785.9	4794.2	1249	0	7
2022.01.03	03:00:00	4794.2	4796.2	4787.9	4789.4	1674	0	7
2022.01.03	04:00:00	4789.4	4791.2	4786.9	4790.7	1284	0	7
2022.01.03	05:00:00	4790.7	4791.4	4787.4	4789.4	797	0	7
2022.01.03	06:00:00	4789.4	4789.7	4788.2	4789.7	535	0	7
2022.01.03	07:00:00	4789.7	4790.9	4788.7	4789.9	570	0	7
2022.01.03	08:00:00	4789.9	4790.7	4783.9	4787.9	1154	0	7
2022.01.03	09:00:00	4787.9	4789.2	4782.9	4788.2	1117	0	7
2022.01.03	10:00:00	4788.2	4791.4	4786.7	4787.4	1949	0	7
2022.01.03	11:00:00	4787.4	4793.9	4785.2	4793.7	1493	0	7
2022.01.03	12:00:00	4793.7	4798.9	4792.6	4798.7	899	0	7   
2022.01.03	13:00:00	4798.7	4802.4	4798.7	4801.9	1004	0	7
2022.01.03	14:00:00	4801.9	4801.9	4795.2	4795.7	953	0	7
2022.01.03	15:00:00	4795.7	4796.4	4786.4	4786.9	1224	0	7
2022.01.03	16:00:00	4786.9	4797.7	4758.9	4769.7	7943	0	7
2022.01.03	17:00:00	4769.9	4788.4	4768.2	4782.2	8370	0	7
2022.01.03	18:00:00	4781.9	4782.9	4764.9	4773.9	3896	0	7
2022.01.03	19:00:00	4773.9	4780.2	4770.7	4775.9	1627	0	7
2022.01.03	20:00:00	4776.2	4787.9	4773.4	4787.4	1288	0	7
2022.01.03	21:00:00	4787.4	4797.2	4786.2	4792.9	988	0	4
2022.01.03	22:00:00	4792.4	4798.4	4786.7	4797.2	1893	0	7
2022.01.04	01:00:00	4795.8	4796.1	4793.1	4793.9	625	0	7
2022.01.04	02:00:00	4793.9	4796.9	4792.1	4795.4	1439	0	3
2022.01.04	03:00:00	4795.1	4797.6	4793.4	4795.4	1479	0	7
2022.01.04	04:00:00	4795.4	4800.1	4794.9	4799.9	910	0	7
2022.01.04	05:00:00	4799.9	4801.6	4797.9	4800.9	578	0	7
2022.01.04	06:00:00	4800.9	4805.9	4800.6	4805.4	437	0	7
2022.01.04	07:00:00	4805.4	4808.9	4805.4	4808.1	659	0	7
2022.01.04	08:00:00	4808.1	4809.4	4806.1	4807.4	483	0	7
2022.01.04	09:00:00	4807.4	4808.4	4804.1	4808.4	1055	0	7
2022.01.04	10:00:00	4808.4	4808.4	4803.6	4804.4	2796	0	7
2022.01.04	11:00:00	4804.4	4807.4	4804.1	4807.4	1231	0	7
2022.01.04	12:00:00	4807.4	4816.4	4807.4	4814.9	1242	0	2
2022.01.04	13:00:00	4814.9	4818.4	4813.4	4814.1	920	0	7
2022.01.04	14:00:00	4814.1	4814.6	4805.9	4810.1	1484	0	7
2022.01.04	15:00:00	4810.1	4815.9	4809.1	4813.6	1255	0	7
2022.01.04	16:00:00	4813.6	4819.1	4810.4	4816.1	3578	0	7
2022.01.04	17:00:00	4816.1	4817.1	4794.9	4795.9	5372	0	7
2022.01.04	18:00:00	4796.4	4799.4	4784.1	4794.4	6031	0	7
2022.01.04	19:00:00	4794.4	4799.1	4786.6	4787.6	3530	0	7
2022.01.04	20:00:00	4787.6	4792.6	4775.6	4776.9	3624	0	7
2022.01.04	21:00:00	4776.4	4794.9	4776.4	4793.6	3202	0	5
2022.01.04	22:00:00	4793.5	4809.1	4793.1	4794.9	3371	0	7
2022.01.05	01:00:00	4790.3	4790.3	4787.8	4789.0	531	0	7
2022.01.05	02:00:00	4789.1	4789.8	4785.1	4787.6	1483	0	7
2022.01.05	03:00:00	4787.6	4791.8	4780.6	4782.8	1821	0	7
2022.01.05	04:00:00	4782.6	4785.6	4781.8	4784.3	1147	0	7
2022.01.05	05:00:00	4784.6	4785.3	4782.1	4784.3	670	0	7
2022.01.05	06:00:00	4784.5	4785.1	4781.8	4783.6	379	0	7
2022.01.05	07:00:00	4783.3	4783.8	4777.8	4779.1	899	0	7
2022.01.05	08:00:00	4779.1	4786.6	4777.3	4785.1	895	0	7
2022.01.05	09:00:00	4785.1	4791.3	4783.8	4789.1	1166	0	7
2022.01.05	10:00:00	4789.1	4792.6	4786.6	4788.8	2988	0	7
2022.01.05	11:00:00	4788.8	4796.3	4787.6	4794.3	1866	0	7
2022.01.05	12:00:00	4794.5	4798.3	4791.8	4792.7	1529	0	7
2022.01.05	13:00:00	4792.6	4793.1	4789.1	4792.1	1469	0	7
2022.01.05	14:00:00	4792.1	4794.3	4787.6	4789.8	1442	0	7
2022.01.05	15:00:00	4789.8	4794.6	4785.8	4793.1	1767	0	7
2022.01.05	16:00:00	4793.1	4795.8	4780.8	4791.6	6951	0	7
2022.01.05	17:00:00	4791.3	4798.8	4786.7	4792.3	7296	0	7
2022.01.05	18:00:00	4792.3	4793.1	4782.1	4784.6	3390	0	7
2022.01.05	19:00:00	4784.3	4791.6	4777.8	4778.6	3332	0	7
2022.01.05	20:00:00	4778.6	4780.3	4772.1	4777.2	2851	0	7
2022.01.05	21:00:00	4777.2	4788.1	4729.5	4735.2	11086	0	7
2022.01.05	22:00:00	4735.0	4735.2	4701.2	4703.0	10144	0	7
2022.01.06	01:00:00	4705.2	4708.7	4702.7	4707.9	1064	0	7
2022.01.06	02:00:00	4707.9	4712.7	4701.7	4707.9	2414	0	7
2022.01.06	03:00:00	4707.9	4712.7	4698.9	4708.3	3613	0	1
2022.01.06	04:00:00	4708.3	4708.7	4698.0	4703.3	2794	0	6
2022.01.06	05:00:00	4703.3	4704.0	4683.3	4684.0	2522	0	6
2022.01.06	06:00:00	4684.0	4686.0	4678.0	4679.0	1859	0	6
2022.01.06	07:00:00	4679.0	4686.5	4677.8	4684.8	2187	0	6
2022.01.06	08:00:00	4684.8	4687.8	4678.5	4686.3	1911	0	6
2022.01.06	09:00:00	4686.3	4706.5	4685.3	4697.5	2913	0	6
2022.01.06	10:00:00	4697.7	4705.5	4689.0	4702.2	4394	0	6
2022.01.06	11:00:00	4702.2	4703.3	4693.5	4699.8	3627	0	6
2022.01.06	12:00:00	4699.5	4712.3	4698.5	4705.3	2483	0	6
2022.01.06	13:00:00	4704.8	4709.8	4698.0	4700.3	2922	0	6
2022.01.06	14:00:00	4700.5	4707.0	4696.5	4701.0	3205	0	6
2022.01.06	15:00:00	4701.0	4707.8	4698.8	4702.8	3437	0	6
2022.01.06	16:00:00	4702.8	4721.8	4685.8	4688.0	8772	0	2
2022.01.06	17:00:00	4688.0	4714.8	4672.0	4704.8	16667	0	6
2022.01.06	18:00:00	4704.8	4717.5	4698.0	4709.8	12908	0	6
2022.01.06	19:00:00	4709.8	4725.5	4704.3	4713.0	8477	0	6
2022.01.06	20:00:00	4713.0	4717.3	4701.5	4708.3	7447	0	6
2022.01.06	21:00:00	4708.3	4714.3	4700.3	4711.3	7128	0	6
2022.01.06	22:00:00	4711.5	4719.3	4689.3	4697.0	7694	0	6
2022.01.07	01:00:00	4707.5	4709.0	4706.5	4708.2	614	0	6
2022.01.07	02:00:00	4708.2	4714.0	4707.2	4713.0	1663	0	6
2022.01.07	03:00:00	4713.0	4714.7	4709.0	4711.7	2137	0	6
2022.01.07	04:00:00	4711.7	4711.7	4703.0	4708.0	2157	0	6
2022.01.07	05:00:00	4708.0	4712.7	4705.7	4707.0	1811	0	6
2022.01.07	06:00:00	4707.0	4707.7	4704.0	4707.2	1138	0	6
2022.01.07	07:00:00	4707.2	4708.7	4702.5	4708.5	1776	0	6
2022.01.07	08:00:00	4708.5	4710.5	4704.7	4705.2	1218	0	6
2022.01.07	09:00:00	4705.2	4706.2	4700.2	4702.2	1856	0	6
2022.01.07	10:00:00	4702.5	4703.2	4687.7	4691.7	3082	0	6
2022.01.07	11:00:00	4691.7	4705.7	4689.0	4700.7	2132	0	6
2022.01.07	12:00:00	4701.0	4709.0	4698.5	4707.0	1872	0	6
2022.01.07	13:00:00	4707.0	4709.0	4703.0	4703.0	1824	0	6
2022.01.07	14:00:00	4703.2	4708.7	4698.7	4699.5	2247	0	6
2022.01.07	15:00:00	4700.0	4709.9	4679.5	4686.5	4699	0	6
2022.01.07	16:00:00	4686.5	4708.5	4684.0	4703.0	10335	0	6
2022.01.07	17:00:00	4702.9	4704.0	4663.2	4669.2	7917	0	6
2022.01.07	18:00:00	4669.0	4697.2	4663.2	4693.0	7335	0	6
2022.01.07	19:00:00	4693.0	4694.5	4680.9	4689.0	4969	0	6
2022.01.07	20:00:00	4689.0	4693.2	4682.5	4685.7	4223	0	6
2022.01.07	21:00:00	4686.0	4694.0	4677.7	4691.2	4140	0	6
2022.01.07	22:00:00	4691.2	4696.5	4675.7	4678.0	4781	0	6
2022.01.10	01:00:00	4660.0	4668.7	4659.2	4666.7	1036	0	6
2022.01.10	02:00:00	4666.7	4673.2	4663.2	4670.2	2012	0	6
2022.01.10	03:00:00	4670.2	4676.0	4662.5	4675.0	2611	0	6
2022.01.10	04:00:00	4675.0	4677.7	4672.2	4674.7	1898	0	6
2022.01.10	05:00:00	4674.7	4677.5	4672.7	4676.2	1196	0	6
2022.01.10	06:00:00	4676.5	4684.2	4676.2	4683.5	979	0	6
2022.01.10	07:00:00	4683.5	4684.0	4679.7	4680.7	1042	0	6
2022.01.10	08:00:00	4680.7	4683.5	4678.7	4682.6	1124	0	6
2022.01.10	09:00:00	4682.5	4690.7	4682.5	4688.2	2053	0	6
2022.01.10	10:00:00	4688.2	4689.7	4665.6	4674.7	5417	0	6
2022.01.10	11:00:00	4674.7	4684.7	4673.5	4678.2	4420	0	6
2022.01.10	12:00:00	4678.2	4685.0	4672.5	4674.5	3984	0	6
2022.01.10	13:00:00	4674.5	4676.0	4665.7	4672.2	3703	0	6
